time,robot_continuous_position,robot_continuous_orientation,robot_linear_velocity,robot_angular_velocity,robot_discrete_state,discrete_location,discrete_orientation,robot_state_mode,sip_puff_frame_id,sip_puff_axes,sip_puff_buttons,mode,optimal_a,u_intended,normalized_h,u_corrected,is_corrected_or_filtered,is_u_intended_equals_um,trial_marker,sip_puff_before_frame_id,user_vel
1582330051706105682,"[22.5, 5.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,x,,,,,,,,,,,,,
1582330051711251041,,,,,,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582330051715395275,"[22.5, 5.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,x,,,,,,,,,,,,,
1582330051721388175,,,,,,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582330051726207656,"[22.5, 5.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,x,,,,,,,,,,,,,
1582330051731486152,,,,,,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582330051735506573,"[22.5, 5.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,x,,,,,,,,,,,,,
1582330051741549069,,,,,,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582330051745543124,"[22.5, 5.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,x,,,,,,,,,,,,,
1582330051751625240,,,,,,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582330051755492390,"[22.5, 5.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,x,,,,,,,,,,,,,
1582330051761762870,,,,,,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582330051766272497,"[22.5, 5.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,x,,,,,,,,,,,,,
1582330051772510112,,,,,,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582330051780631572,"[22.5, 5.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,x,,,,,,,,,,,,,
1582330051782744955,,,,,,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582330051792491135,,,,,,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582330051801398956,"[22.5, 5.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,x,,,,,,,,,,,,,
1582330051802761904,,,,,,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582330051812794535,,,,,,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582330051812930743,"[22.5, 5.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,x,,,,,,,,,,,,,
1582330051821295125,"[22.5, 5.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,x,,,,,,,,,,,,,
1582330051822914660,,,,,,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582330051827813203,"[22.5, 5.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,x,,,,,,,,,,,,,
1582330051833021848,,,,,,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582330051835117367,"[22.5, 5.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,x,,,,,,,,,,,,,
1582330051842534385,"[22.5, 5.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,x,,,,,,,,,,,,,
1582330051843293192,,,,,,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582330051848693346,"[22.5, 5.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,x,,,,,,,,,,,,,
1582330051853237316,,,,,,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582330051855362933,"[22.5, 5.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,x,,,,,,,,,,,,,
1582330051863443123,,,,,,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582330051866096139,"[22.5, 5.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,x,,,,,,,,,,,,,
1582330051873519798,,,,,,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582330051875182157,"[22.5, 5.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,x,,,,,,,,,,,,,
1582330051883626334,,,,,,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582330051885596068,"[22.5, 5.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,x,,,,,,,,,,,,,
1582330051894262664,,,,,,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
