time,robot_continuous_position,robot_continuous_orientation,robot_linear_velocity,robot_angular_velocity,robot_discrete_state,discrete_location,discrete_orientation,robot_state_mode,sip_puff_frame_id,sip_puff_axes,sip_puff_buttons,mode_frame_id,mode,trial_marker,sip_puff_before_frame_id,user_vel
1582328831579559973,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582328831588562101,"[22.5, 15.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,t,,,,,,,,
1582328831589621997,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582328831599710064,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582328831599716673,"[22.5, 15.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,t,,,,,,,,
1582328831608517505,"[22.5, 15.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,t,,,,,,,,
1582328831609829703,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582328831619552166,"[22.5, 15.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,t,,,,,,,,
1582328831619845856,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582328831629655325,"[22.5, 15.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,t,,,,,,,,
1582328831629926862,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582328831638699819,"[22.5, 15.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,t,,,,,,,,
1582328831640013267,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582328831648528835,"[22.5, 15.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,t,,,,,,,,
1582328831650084966,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582328831659622863,"[22.5, 15.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,t,,,,,,,,
1582328831660210336,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582328831669584054,"[22.5, 15.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,t,,,,,,,,
1582328831670250454,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582328831679527153,"[22.5, 15.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,t,,,,,,,,
1582328831680400111,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582328831689386372,"[22.5, 15.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,t,,,,,,,,
1582328831690522533,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582328831699458334,"[22.5, 15.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,t,,,,,,,,
1582328831700638161,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582328831709318028,"[22.5, 15.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,t,,,,,,,,
1582328831710744272,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582328831718858458,"[22.5, 15.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,t,,,,,,,,
1582328831720802980,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582328831729364926,"[22.5, 15.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,t,,,,,,,,
1582328831730917924,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
